result,answer,code,id,query,img_path,possible_answers
None,no,"[' function execute_command(image){const e=new ImagePatch(image);return e.llm_query(""Is it overcast?"",!1)}']",201307251,Is it overcast?,/root/Datasets/./images/n161313.jpg,[]
None,women,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""dress"");return t[0].llm_query(""Who is wearing the dress?"",!1)}']",201640614,Who is wearing the dress?,/root/Datasets/./images/n235859.jpg,[]
None,no,"[' function execute_command(image){const imagePatch=new ImagePatch(image);const utensilPatches=imagePatch.find(""utensil"");const utensilPatch=utensilPatches[0];const tablePatches=imagePatch.find(""table"");const tablePatch=tablePatches[0];return bool_to_yesno(utensilPatch.verify_property(""utensil"",""clean"")&&utensilPatch.verify_property(""utensil"",""black"")&&utensilPatch.overlaps_with(tablePatch.left,tablePatch.lower,tablePatch.right,tablePatch.upper))}']",202225914,Does the utensil on top of the table look clean and black?,/root/Datasets/./images/n336443.jpg,[]
None,yes,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""surfer"");const n=t[0];const r=n.llm_query(""Is the surfer wearing a wetsuit?"",!1);return bool_to_yesno(r)}']",2062325,Is the surfer that looks wet wearing a wetsuit?,/root/Datasets/./images/n179136.jpg,[]
None,short,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""chair"");return t[0].compute_depth()}']",201303229,How tall is the chair in the bottom of the photo?,/root/Datasets/./images/n518912.jpg,[]
None,keyboard,"[' function execute_command(image){const imagePatch=new ImagePatch(image);const deskPatches=imagePatch.find(""desk"");const deskPatch=deskPatches[0];const devicePatches=deskPatch.find(""device"");const devicePatch=devicePatches[0];return devicePatch.simpleQuery(""What kind of device is this?"")}']",201902997,What kind of device is on top of the desk?,/root/Datasets/./images/n435808.jpg,[]
None,ocean,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""airplane"");return t[0].simple_query(""What is this?"")}']",20567512,What is the airplane flying above?,/root/Datasets/./images/n414992.jpg,[]
None,red,"[' function execute_command(image){const e=new ImagePatch(image);const n=e.find(""pants"");return n[0].simple_query(""What is the color?"")}']",20136592,What color are the pants?,/root/Datasets/./images/n446242.jpg,[]
None,brown,"[' function execute_command(image){const e=new ImagePatch(image);return e.llm_query(""What is the color of the ground?"",!1)}']",20602803,Is the ground blue or brown?,/root/Datasets/./images/n168412.jpg,[]
None,drapes,"[' function execute_command(image){const e=new ImagePatch(image);return e.llm_query(""What is around the open window?"",!1)}']",201079951,What is around the open window?,/root/Datasets/./images/n23181.jpg,[]
None,drapes,"[' function execute_command(image){const e=new ImagePatch(image);return e.llm_query(""What\'s around the window?"",!1)}']",201079952,What's around the window?,/root/Datasets/./images/n23181.jpg,[]
None,woman,"[' function execute_command(image){const imagePatch=new ImagePatch(image);const personPatches=imagePatch.find(""person"");personPatches.sort((a,b)=>a.verticalCenter-b.verticalCenter);return personPatches[0].simpleQuery(""Who is this?"")}']",20982537,Who is standing at the table?,/root/Datasets/./images/n52544.jpg,[]
None,yes,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""drapes"");return bool_to_yesno(t.length>0)}']",201079958,Are there drapes to the right of the bed?,/root/Datasets/./images/n23181.jpg,[]
None,picture,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""chalkboard"");const n=t[0];const r=n.llm_query(""What is hanging above the chalkboard?"",!1);return r}']",202218649,What is hanging above the chalkboard?,/root/Datasets/./images/n578564.jpg,[]
None,no,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""cake"");return bool_to_yesno(t[0].exists(""platter""))}']",20609782,Is the cake on a platter?,/root/Datasets/./images/n437064.jpg,[]
None,yes,"[' function execute_command(e){const t=new ImagePatch(e),n=t.find(""person"");const r=t.find(""cup"");const i=n[0].left<r[0].right;return bool_to_yesno(i)}']",201757757,Is the person to the right of the cup wearing jeans?,/root/Datasets/./images/n4777.jpg,[]
None,keyboard,"[' function execute_command(image){const imagePatch=new ImagePatch(image);const mousePadPatches=imagePatch.find(""mouse pad"");const mousePadPatch=mousePadPatches[0];const devicePatches=imagePatch.find(""device"");devicePatches.sort((a,b)=>distance(a,mousePadPatch)-distance(b,mousePadPatch));return devicePatches[0]}']",201902993,What device is sitting next to the mouse pad?,/root/Datasets/./images/n435808.jpg,[]
None,yes,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""sweater"");return bool_to_yesno(t[0].verify_property(""sweater"",""open"")&&t[0].verify_property(""sweater"",""blue""))}']",20306193,Does the sweater look open and blue?,/root/Datasets/./images/n554880.jpg,[]
None,yes,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""jacket"");return bool_to_yesno(t[0].verify_property(""jacket"",""long sleeved"")&&t[0].verify_property(""jacket"",""black""))}']",20183468,Is the jacket long sleeved and black?,/root/Datasets/./images/n151768.jpg,[]
None,yes,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""bed"");const n=e.find(""small outlet"");return bool_to_yesno(t.some(t=>n.some(n=>t.overlaps_with(n))))}']",20753400,Are there beds next to the small outlet?,/root/Datasets/./images/n49438.jpg,[]
None,right,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""leather bag"");return t[0].left<e.width/2?""left"":""right""}']",20151723,On which side of the picture is the leather bag?,/root/Datasets/./images/n313060.jpg,[]
None,no,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""blue pillow"");return bool_to_yesno(t[0].verify_property(""blue pillow"",""square"")&&t[0].verify_property(""blue pillow"",""large""))}']",201030735,Is the blue pillow square and large?,/root/Datasets/./images/n54424.jpg,[]
None,white,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""cake"");return t[0].simple_query(""What is the color?"")}']",201637161,Which color is the cake?,/root/Datasets/./images/n200692.jpg,[]
None,pan,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""cooking utensil"");return t[0].simple_query(""What is the name of the cooking utensil?"")}']",202218839,What is the name of the cooking utensil that is hang from the hook?,/root/Datasets/./images/n578564.jpg,[]
None,table,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""skinny person"");return t[0].llm_query(""Where is the skinny person standing?"",!1)}']",20982539,Where is the skinny person standing?,/root/Datasets/./images/n52544.jpg,[]
None,no,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""plate"");return bool_to_yesno(t[0].exists(""ottoman""))}']",201110833,Are the plates on top of an ottoman?,/root/Datasets/./images/n546616.jpg,[]
None,large,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""freezer"");const n=e.find(""wall"");const r=t[0].distance(n[0]);return bool_to_yesno(r<100)}']",20866249,Is the freezer near the wall small or large?,/root/Datasets/./images/n579256.jpg,[]
None,marshmallow,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""baby"");const n=e.find(""woman"");const r=e.find(""food"");const i=r.filter(x=>x.left<t.left&&x.right>t.left&&x.lower<t.lower&&x.upper>t.lower);return i[0].simple_query(""What is the type of food?"")}']",201110525,What type of food is to the left of the baby that is sitting atop the woman?,/root/Datasets/./images/n546616.jpg,[]
None,aluminum,"[' function execute_command(image){const e=new ImagePatch(image);const n=e.find(""fence"");return n[0].llm_query(""What is the material of the fence?"",!1)}']",20120533,Is the fence made of cement or aluminum?,/root/Datasets/./images/n117888.jpg,[]
None,left,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""white house"");return t[0].llm_query(""What side are the white houses on?"",!1)}']",201952977,Which side are the white houses on?,/root/Datasets/./images/n525029.jpg,[]
None,yes,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""phone"");const n=e.find(""coffee cup"");return bool_to_yesno(t[0].verify_property(""phone"",""color"")&&n[0].verify_property(""coffee cup"",""color""))}']",201497576,Are both the phone and the coffee cup the same color?,/root/Datasets/./images/n315887.jpg,[]
None,no,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""small refrigerator"");const n=e.find(""microwave"");return bool_to_yesno(t.length>0||n.length>0)}']",20866242,Are there either any small refrigerators or microwaves in the picture?,/root/Datasets/./images/n579256.jpg,[]
None,white,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""car"");return t[0].llm_query(""What is the color of the car?"",!1)}']",201455911,"How does that car look like, orange or maybe white?",/root/Datasets/./images/n413761.jpg,[]
None,white,"[' function execute_command(image){const e=new ImagePatch(image),n=e.find(""book"");return n[0].llm_query(""What is the color of the book?"",!1)}']",20856965,What color is the book?,/root/Datasets/./images/n293477.jpg,[]
None,red,"[' function execute_command(image){const e=new ImagePatch(image);const n=e.find(""dirt"");return n[0].llm_query(""What is the color of the dirt?"",!1)}']",2059565,What color is the dirt?,/root/Datasets/./images/n130638.jpg,[]
None,no,"[' function execute_command(image){const imagePatch=new ImagePatch(image);const sofaPatches=imagePatch.find(""sofa"");const sofaPatch=sofaPatches[0];const leatherPatches=imagePatch.find(""leather"");const leatherPatch=leatherPatches[0];return bool_to_yesno(leatherPatch.overlaps_with(sofaPatch.left,sofaPatch.lower,sofaPatch.right,sofaPatch.upper))}']",20856960,Is the bag made of leather lying on top of a sofa?,/root/Datasets/./images/n293477.jpg,[]
None,window,"[' function execute_command(image){const e=new ImagePatch(image);return e.find(""drapes"")}']",201079954,What are the drapes around of?,/root/Datasets/./images/n23181.jpg,[]
None,left,"[' function execute_command(image){const e=new ImagePatch(image);return e.llm_query(""What side is the picture on?"",!1)}']",201548894,On which side is the picture?,/root/Datasets/./images/n314171.jpg,[]
None,concrete,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""crosswalk"");return t[0].llm_query(""What material is the crosswalk in front of the stores?"",!1)}']",201573912,What material is the crosswalk in front of the stores?,/root/Datasets/./images/n115614.jpg,[]
None,small,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""sprinkles"");return t[0].llmQuery(""What is the size of the sprinkles?"",!0)}']",202243820,How large are the sprinkles that are sprinkled on the cupcakes?,/root/Datasets/./images/n296467.jpg,[]
None,concrete,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""crosswalk"");const n=e.find(""street lamp"");const r=t[0].llm_query(`What type of material is ${n[0].simple_query(""What is the name of the street lamp?"")} made of?`,!1);return r}']",201573918,What type of material is the crosswalk near the street lamp made of?,/root/Datasets/./images/n115614.jpg,[]
None,tank top,"[' function execute_command(image){const e=new ImagePatch(image);const n=e.find(""clothing"");const t=n[0];return t.llm_query(""What kind of clothing is pink?"",!1)}']",201974972,Which kind of clothing is pink?,/root/Datasets/./images/n274905.jpg,[]
None,tank top,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""clothing item"");return t[0].simple_query(""What is the color?"")}']",201974971,How is the clothing item that is pink called?,/root/Datasets/./images/n274905.jpg,[]
None,hat,"[' function execute_command(image){const e=new ImagePatch(image);const n=e.find(""clothing"");n.sort((a,b)=>a.simpleQuery(""What is the color?"")-b.simpleQuery(""What is the color?""));return n[0].simpleQuery(""What is the color?"")==""pink""?n[1]:n[0]}']",201974976,Which kind of clothing is not pink?,/root/Datasets/./images/n274905.jpg,[]
None,off,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""helicopter"");return bool_to_yesno(t[0].verify_property(""helicopter"",""on""))}']",201996743,Is this helicopter on or off?,/root/Datasets/./images/n250715.jpg,[]
None,yes,"[' function execute_command(image){const e=new ImagePatch(image);return e.exists(""cat"")?bool_to_yesno(true):bool_to_yesno(false)}']",20797666,Do you see any cats?,/root/Datasets/./images/n16656.jpg,[]
None,no,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""shoe"");const n=e.find(""dog"");return bool_to_yesno(t[0].overlaps_with(n[0]))}']",20797665,Is that shoe behind a dog?,/root/Datasets/./images/n16656.jpg,[]
None,tank top,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""clothing"");const n=t[0];return n.llm_query(""What kind of clothing is sleeveless?"",!1)}']",201974979,What kind of clothing is sleeveless?,/root/Datasets/./images/n274905.jpg,[]
None,no,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""field"");const n=t[0];return bool_to_yesno(n.verify_property(""field"",""soft"")&&n.verify_property(""field"",""snowy""))}']",201156138,Is the field soft and snowy?,/root/Datasets/./images/n146522.jpg,[]
None,bananas,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""microwave"");const n=t[0].llm_query(""What fruits are beneath the microwave?"",!1);return n}']",20442334,What fruits are beneath the microwave?,/root/Datasets/./images/n207708.jpg,[]
None,white,"[' function execute_command(image){const e=new ImagePatch(image);const n=e.find(""shirt"");return n[0].simple_query(""What is the color?"")}']",201765651,Which color is the shirt?,/root/Datasets/./images/n488874.jpg,[]
None,bananas,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""microwave"");const n=t[0].llm_query(""What is beneath the microwave?"",!0);return n}']",20442331,What is beneath the microwave?,/root/Datasets/./images/n207708.jpg,[]
None,right,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""chair"");return t[0].left<e.width/2?""left"":""right""}']",20508243,On which side of the picture is the chair?,/root/Datasets/./images/n511913.jpg,[]
None,right,"[' function execute_command(image){const imagePatch=new ImagePatch(image);const manPatches=imagePatch.find(""happy man"");const womanPatches=imagePatch.find(""woman"");const womanPatch=womanPatches[0];const manPatch=manPatches[0];return bool_to_yesno(manPatch.left<womanPatch.left)}']",2046473,Is the happy man to the left or to the right of the woman in the center?,/root/Datasets/./images/n71728.jpg,[]
None,woman,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""wristband"");return t[0].llm_query(""Who is wearing this wristband?"",!1)}']",20618932,Who is wearing a wristband?,/root/Datasets/./images/n126087.jpg,[]
None,no,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""pear"");const n=t[0];const r=n.verify_property(""pear"",""silver and black"");return bool_to_yesno(r)}']",20442338,Is there a pear beneath the appliance that looks silver and black?,/root/Datasets/./images/n207708.jpg,[]
None,cabinet,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""bed"");const n=e.find(""cabinet"");if(t.length>0&&n.length>0){return e.llm_query(""Is this a bed or a cabinet?"",!1)}}']",202005788,Is this a bed or a cabinet?,/root/Datasets/./images/n97485.jpg,[]
None,left,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""router"");return t[0].left<e.width/2?""left"":""right""}']",201902515,On which side is the router?,/root/Datasets/./images/n435808.jpg,[]
None,gray,"[' function execute_command(image){const e=new ImagePatch(image);const n=e.find(""pants"");return n[0].llm_query(""What is the color of the pants?"",!1)}']",201303404,What is the color of the pants?,/root/Datasets/./images/n518912.jpg,[]
None,girl,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""shirt"");return t[0].llm_query(""Who is wearing this shirt?"",!1)}']",20942157,Who is wearing the shirt?,/root/Datasets/./images/n137182.jpg,[]
None,girl,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""shirt"");return t[0].llm_query(""Who is wearing this shirt?"",!1)}']",20942156,Who is wearing a shirt?,/root/Datasets/./images/n137182.jpg,[]
None,standing,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""man"");return t[0].llm_query(""What is the man doing?"",!1)}']",20898685,What's the man doing?,/root/Datasets/./images/n243701.jpg,[]
None,no,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""river"");const n=e.find(""ocean"");const r=t.concat(n);r.sort((a,b)=>a.computeDepth()-b.computeDepth());return r[0].llmQuery(""Are there rivers or oceans that are not calm?"",!1)}']",202116974,Are there rivers or oceans that are not calm?,/root/Datasets/./images/n48494.jpg,[]
None,wall,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""picture frame"");return t[0].llm_query(""What is the picture frame hanging from?"",!1)}']",201621328,What is the picture frame hanging from?,/root/Datasets/./images/n275148.jpg,[]
None,dense,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""car"");return t.length>0?t[0].llm_query(""What is the density of the cars?"",!1):""no car""}']",2076819,"How do the cars look like, dense or sparse?",/root/Datasets/./images/n214497.jpg,[]
None,cookies,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""food"");for(const n of t){if(!n.verify_property(""food"",""baked"")){return n.simple_query(""What is this food?"")}}}']",202244099,What food isn't baked?,/root/Datasets/./images/n296467.jpg,[]
None,van,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""vehicle"");return t[0].best_text_match([""car"",""truck"",""bus"",""motorcycle""])}']",201951771,Which kind of vehicle is in front of the flag?,/root/Datasets/./images/n256120.jpg,[]
None,van,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""flag"");const n=e.find(""vehicle"");const r=t[0].verticalCenter-n[0].verticalCenter;return r>0?""car"":""truck""}']",201951770,What is the vehicle that is in front of the flag?,/root/Datasets/./images/n256120.jpg,[]
None,picture frame,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""wall"");return t[0].llm_query(""What is hanging from the wall?"",!1)}']",201621326,What is hanging from the wall?,/root/Datasets/./images/n275148.jpg,[]
None,pavement,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""skateboarder"");return t[0].llm_query(""What is the skateboarder jumping off of?"",!1)}']",201233862,What's the skateboarder jumping off of?,/root/Datasets/./images/n130464.jpg,[]
None,no,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""van"");const n=e.find(""balloon"");return bool_to_yesno(t[0].overlaps_with(n[0]))}']",201951776,Is the van in front of a balloon?,/root/Datasets/./images/n256120.jpg,[]
None,beige,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""bench"");return t[0].llm_query(""What is the color of this bench?"",!1)}']",20489632,What is the color of this bench?,/root/Datasets/./images/n145498.jpg,[]
None,no,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""cabinets"");const n=e.find(""stove"");const r=n[0].verticalCenter;const i=t.filter(c=>c.verticalCenter<r&&c.verify_property(""cabinets"",""wooden"")&&c.verify_property(""cabinets"",""open""));return bool_to_yesno(i.length>0)}']",201623784,Are the cabinets below the stove wooden and open?,/root/Datasets/./images/n501609.jpg,[]
None,bed,"[' function execute_command(image){const e=new ImagePatch(image);const t=e.find(""plaid"");return t[0].llm_query(""What is the name of the plaid item of furniture?"",!1)}']",202023424,How is the item of furniture that is plaid called?,/root/Datasets/./images/n95313.jpg,[]
